iter	Logloss
0	0.6894548959
1	0.685181427
2	0.6804146225
3	0.6761712133
4	0.6713701873
5	0.6670975299
6	0.6628143423
7	0.6586260499
8	0.6541795232
9	0.6494663647
10	0.645988819
11	0.6420003645
12	0.637789331
13	0.6339938172
14	0.6306289691
15	0.6272719732
16	0.6226990078
17	0.6184705825
18	0.6148406422
19	0.6114235032
20	0.6080726996
21	0.6048342693
22	0.6007329365
23	0.5962891915
24	0.5927954092
25	0.5897837112
26	0.5866609545
27	0.5831866102
28	0.5787107266
29	0.5756854951
30	0.5725067744
31	0.568880271
32	0.5652548878
33	0.5628831021
34	0.5595908646
35	0.5566112968
36	0.5531329353
37	0.5500563864
38	0.546163077
39	0.5427928607
40	0.5394030091
41	0.5365672095
42	0.533996044
43	0.5312013296
44	0.528306221
45	0.5257861906
46	0.5228441109
47	0.5198457165
48	0.5178067717
49	0.5153934487
50	0.5129944392
51	0.510526442
52	0.5079816774
53	0.5051402001
54	0.5019005488
55	0.4992612814
56	0.4964630629
57	0.4941219902
58	0.4919400426
59	0.4898971367
60	0.4870701528
61	0.4849860122
62	0.4825634052
63	0.4806766566
64	0.4782803125
65	0.4756430225
66	0.4732834167
67	0.4706386123
68	0.4682725253
69	0.4658016317
70	0.4633817685
71	0.4611597069
72	0.4588296436
73	0.456318854
74	0.4544379029
75	0.4520368143
76	0.4499509108
77	0.4473855514
78	0.4451578677
79	0.4434444924
80	0.4410435196
81	0.438554064
82	0.436234557
83	0.4340894237
84	0.4327869483
85	0.4310689592
86	0.4292675302
87	0.4271585896
88	0.4253685988
89	0.4232568026
90	0.4221018564
91	0.4201193724
92	0.4186349752
93	0.4167727167
94	0.4151598726
95	0.4136036663
96	0.4117958795
97	0.40991088
98	0.4081245415
99	0.4065649256
100	0.4051642086
101	0.403128778
102	0.4017581522
103	0.4005958608
104	0.3986606305
105	0.3967366005
106	0.3953815787
107	0.3938634141
108	0.3923307322
109	0.3907603858
110	0.3891963625
111	0.3876661337
112	0.3863810768
113	0.3846394462
114	0.3834959743
115	0.382363156
116	0.3801932684
117	0.3787948422
