iter	Passed	Remaining
0	1	1243
1	2	1182
2	3	1159
3	4	1162
4	5	1162
5	6	1136
6	8	1137
7	9	1136
8	10	1117
9	11	1113
10	12	1086
11	12	1065
12	13	1044
13	14	1012
14	15	996
15	15	982
16	16	969
17	17	957
18	18	946
19	19	937
20	19	930
21	20	927
22	21	929
23	22	923
24	23	918
25	24	912
26	25	908
27	25	901
28	26	894
29	27	888
30	28	882
31	28	876
32	29	870
33	30	865
34	31	862
35	32	858
36	32	853
37	33	848
38	34	844
39	35	840
40	35	836
41	36	833
42	37	830
43	38	826
44	38	824
45	39	823
46	40	820
47	41	817
48	41	814
49	42	812
50	43	809
51	43	801
52	44	799
53	45	797
54	46	795
55	47	793
56	47	791
57	48	788
58	49	786
59	50	783
60	50	781
61	51	779
62	52	777
63	53	775
64	53	773
65	54	771
66	55	769
67	56	767
68	56	766
69	57	764
70	58	762
71	59	760
72	59	758
73	60	757
74	61	756
75	62	754
76	62	753
77	63	751
78	64	750
79	65	748
80	65	747
81	66	745
82	67	744
83	68	743
84	68	739
85	69	737
86	70	736
87	70	734
88	71	733
89	72	732
90	72	728
91	73	727
92	74	723
93	75	722
94	75	721
95	76	720
96	77	719
97	78	718
98	78	717
99	79	715
100	80	714
101	81	714
102	81	713
103	82	712
104	83	711
105	84	710
106	85	709
107	85	708
108	86	707
109	87	705
110	88	705
111	88	704
112	89	702
113	90	701
114	91	700
115	91	699
116	92	698
117	93	697
118	94	696
119	94	695
120	95	695
121	96	693
122	96	691
123	97	690
124	98	688
125	99	687
126	99	686
127	100	685
128	101	684
129	102	683
130	102	682
131	103	679
132	104	678
133	104	677
134	105	676
135	106	675
136	107	674
137	107	673
138	108	672
139	109	671
140	110	670
141	110	670
142	111	669
143	112	667
144	113	667
145	113	666
146	114	665
147	115	664
148	116	663
149	116	662
150	117	661
151	118	660
152	119	659
153	119	658
154	120	657
155	121	656
156	122	655
157	122	654
158	123	653
159	124	652
160	125	652
161	125	651
162	126	650
163	127	648
164	127	647
165	128	646
166	129	645
167	130	644
168	131	645
169	132	645
170	132	644
171	133	644
172	134	643
173	135	642
174	136	642
175	136	640
176	137	639
177	138	639
178	139	638
179	139	637
180	140	636
181	141	636
182	142	635
183	143	634
184	143	633
185	144	633
186	145	632
187	146	631
188	147	631
189	147	630
190	148	629
191	149	628
192	150	628
193	151	627
194	151	627
195	152	626
196	153	626
197	154	625
198	155	624
199	155	623
200	156	622
201	157	622
202	158	621
203	159	621
204	160	621
205	160	620
206	161	619
207	162	618
208	163	617
209	164	616
210	164	616
211	165	615
212	166	614
213	167	614
214	167	613
215	168	612
216	169	611
217	170	611
218	171	610
219	171	609
220	172	609
221	173	608
222	174	608
223	175	607
224	176	606
225	176	605
226	177	605
227	178	604
228	179	603
229	180	603
230	180	602
231	181	602
232	182	601
233	183	600
234	184	599
235	185	599
236	185	598
237	186	597
238	187	596
239	188	596
240	189	595
241	189	594
242	190	594
243	191	593
244	192	592
245	192	591
246	193	590
247	194	589
248	195	588
249	196	588
250	196	587
251	197	586
252	198	585
253	199	584
254	199	583
255	200	582
256	201	582
257	202	581
258	202	580
259	203	579
260	204	578
261	205	577
262	205	576
263	206	575
264	207	575
265	208	574
266	208	573
267	209	572
268	210	571
269	211	571
270	212	570
271	212	569
272	213	568
273	214	567
274	215	566
275	215	566
276	216	565
277	217	564
278	218	563
279	218	562
280	219	561
281	220	560
282	220	559
283	221	559
284	222	558
285	223	557
286	223	556
287	224	555
288	225	554
289	226	553
290	227	553
291	227	552
292	228	551
293	229	550
294	230	549
295	230	549
296	231	548
297	232	547
298	233	546
299	233	545
300	234	544
301	235	543
302	236	542
303	236	542
304	237	541
305	238	540
306	239	539
307	239	538
308	240	538
309	241	537
310	242	536
311	242	535
312	243	534
313	244	533
314	245	532
315	245	532
316	246	531
317	247	530
318	248	529
319	248	528
320	249	527
321	250	526
322	250	526
323	251	525
324	252	524
325	253	523
326	253	522
327	254	521
328	255	521
329	256	520
330	256	519
331	257	518
332	258	517
333	259	516
334	259	515
335	260	515
336	261	514
337	262	513
338	262	512
339	263	511
340	264	511
341	265	510
342	265	509
343	266	508
344	267	507
345	268	506
346	268	506
347	269	505
348	270	504
349	271	503
350	271	502
351	272	502
352	273	501
353	274	500
354	275	499
355	275	498
356	276	497
357	277	497
358	277	496
359	278	495
360	279	494
361	280	493
362	280	492
363	281	492
364	282	491
365	283	490
366	283	489
367	284	488
368	285	487
369	286	487
370	286	486
371	287	485
372	288	484
373	289	483
374	289	483
375	290	482
376	291	481
377	292	480
378	292	479
379	293	479
380	294	478
381	295	477
382	295	476
383	296	475
384	297	475
385	298	474
386	298	473
387	299	472
388	300	472
389	301	471
390	302	471
391	303	470
392	304	469
393	304	468
394	305	468
395	306	467
396	307	466
397	308	466
398	308	465
399	309	464
400	310	463
401	311	463
402	312	462
403	312	461
404	313	460
405	314	460
406	315	459
407	316	458
408	316	458
409	317	457
